"pm2.5","pm10","nox","so2","co","o3"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,81.5,14.33,1.01,9.75
NA,NA,40,12.47,NA,12.25
NA,NA,23.25,7.7,NA,12.25
NA,NA,21.5,5.2,NA,12.75
NA,NA,45.75,4.58,NA,9.5
NA,NA,55.25,4.73,1.09,9.25
NA,NA,33.25,4.9,42,11.25
NA,NA,26.75,2.65,1.35,11.75
NA,NA,19.5,2.52,3.25,14
NA,NA,16,1.77,2.83,17.5
NA,NA,17,1.4,1.59,18.5
NA,NA,13.25,0.82,2.64,22.75
NA,NA,13.75,0.7,3.07,19.25
NA,NA,20.75,0.48,3.43,15.25
NA,NA,28.25,0.15,4.41,12
NA,NA,48.25,0.08,3.35,10
NA,NA,34,NA,1.67,16.5
NA,NA,37.5,NA,1.61,14.5
NA,NA,48.75,0.42,2.88,11.25
NA,NA,63.25,1.3,3.54,10.25
NA,NA,78,0.85,5.05,8.75
NA,NA,48.75,0.67,4.46,12.25
NA,NA,65,1.18,6.34,13.25
NA,NA,34.25,0.83,5.22,17.25
NA,NA,31,0.25,6.2,19.25
NA,NA,25.5,3.45,3.6,18
NA,NA,36,0.05,6.19,8.75
NA,NA,120.5,0.68,11.45,9.25
NA,NA,158.5,1.6,15.2,9
NA,NA,148,5.03,13.59,9.5
NA,NA,107.5,12.82,8.24,7.75
NA,NA,59.25,7.7,6.39,8.25
NA,NA,42.5,5.97,NA,8
NA,NA,25.25,5.2,47,8
NA,NA,32.25,3.82,NA,8
NA,NA,28.5,4.2,32.75,8.25
NA,NA,28,3.62,17,8.5
NA,NA,28.5,3.12,NA,9
NA,NA,34.25,2.7,NA,9
NA,NA,46.75,2.28,NA,8
NA,NA,43.75,2.4,NA,8.75
NA,NA,45.25,2.97,NA,9.25
NA,NA,47,4.68,NA,9.25
NA,NA,62.75,4.2,NA,11.5
NA,NA,45.25,4.85,1.57,16.5
NA,NA,40.75,2.85,NA,20
NA,NA,32,1.77,NA,24
NA,NA,23.5,1.95,2.33,23.5
NA,NA,23,1.02,3.01,22.5
NA,NA,19.25,0.45,2.57,19.25
NA,NA,19.5,0.03,2.12,17.5
NA,NA,25.75,0.23,3.21,11.25
NA,NA,33,1,3.94,8.25
NA,NA,30.75,1.45,4,8.75
NA,NA,32.25,4.53,4.67,8
NA,NA,26.5,2.42,2.9,8.5
NA,NA,24.75,1.4,3.06,8.25
NA,NA,22.5,1.35,3.05,7.75
NA,NA,20.75,2.3,4.55,8
NA,NA,17.5,2.3,5.8,8
NA,NA,22.25,2.82,6.56,8
NA,NA,28.5,5.02,7.55,8
NA,NA,29,3.27,7.82,8.25
NA,NA,54.25,2.07,9.16,9
NA,NA,43.75,6.2,7.91,8.5
NA,NA,43.75,11.72,7.89,10.25
NA,NA,41.75,12.25,9.07,18.25
NA,NA,28.5,7.15,8.67,39.25
NA,NA,30.75,6.92,9.7,51.75
NA,NA,32.75,8.25,7.77,59.5
NA,NA,39.5,6.85,8.27,68.25
NA,NA,33.5,3.82,8.22,74
NA,NA,32.5,1.42,7.53,53.75
NA,NA,37.75,0.38,8.71,30.5
NA,NA,43,0.1,8.77,10
NA,NA,70.75,0.13,10.12,8
NA,NA,63.25,0.4,10.65,8
NA,NA,46.5,1.38,9.81,7.75
NA,NA,124.5,2.4,12.54,9
NA,NA,86.75,3.43,8.65,9.25
NA,NA,116.75,2,3.66,8
NA,NA,69,2.8,1.6,7.25
NA,NA,31.5,2.77,1.33,8.75
NA,NA,43,6.75,1.85,7.25
NA,NA,39.75,14.7,1.45,7
NA,NA,38.5,14.22,1.43,7.5
NA,NA,57.25,10.35,1.44,7.75
NA,NA,74.75,10.38,1.34,8.25
NA,NA,58.75,16.05,NA,8.25
NA,NA,62.75,29.73,NA,9.25
NA,NA,53.5,29.75,NA,13.75
NA,NA,53.25,23.85,NA,30
NA,NA,67.25,23.78,NA,30.25
NA,NA,56.75,24.88,NA,44.75
NA,NA,63.5,21.73,NA,38
NA,NA,33,12.55,NA,46
NA,NA,32.5,5.38,NA,29.75
NA,NA,35.25,2.87,NA,22
NA,NA,43,0.77,NA,17
NA,NA,63,NA,NA,7
NA,NA,141.75,0.05,2.78,7.5
NA,NA,202.75,0.53,5.4,8
NA,NA,199.75,0.92,5.93,7.75
NA,NA,170.5,1.4,5.46,7
NA,NA,178.5,2.3,8.3,7
NA,NA,202.25,3.23,9.85,8
NA,NA,201,4.33,8.07,8.25
NA,NA,182.25,5.12,7.62,8
NA,NA,204,6.48,8.28,8
NA,NA,224.25,8.02,8.65,8
NA,NA,255,9.65,10.13,8
NA,NA,165.25,10.85,5.75,7.5
NA,NA,89.25,10.8,3.18,7.75
NA,NA,62,11.6,2.11,9
NA,NA,43.75,14.9,2.18,15.75
NA,NA,33.25,16.72,2.33,25.25
NA,NA,26.75,23.4,2.31,38.25
NA,NA,27,23.68,2.48,40
NA,NA,27.75,14.32,2.08,41.75
NA,NA,26.25,12.78,2.07,42.5
NA,NA,25.75,10.5,2.03,40
NA,NA,25,8.85,2.03,28.25
NA,NA,27,7.85,2.32,18
NA,NA,30.75,7.7,1.92,15.25
NA,NA,29.25,4.25,1.81,17.25
NA,NA,30.5,3.15,1.77,11.5
NA,NA,31,3.27,1.97,14
NA,NA,26.25,2.45,2.1,17.5
NA,NA,32.5,2.58,2.53,10.25
NA,NA,23.75,2.6,2.42,22.75
NA,NA,21.5,2.15,3.31,19.75
NA,NA,25.75,2.93,3.56,15.25
NA,NA,24.5,2.72,3.95,18.75
NA,NA,26,1.85,5.07,11.5
NA,NA,31.25,1.08,4.83,9.75
NA,NA,36.5,0.75,4.78,10.25
NA,NA,30,1.62,4.92,17.5
NA,NA,31.25,2.65,5.32,34.75
NA,NA,27.5,2.8,4.74,54.5
NA,NA,21.75,2.43,5.58,73.75
NA,NA,20,1.88,5.52,82.5
NA,NA,24.5,1.05,7.33,85.5
NA,NA,22,0.58,9.51,81.75
NA,NA,21.25,0.45,7.74,74.5
NA,NA,25,0.55,7.44,63.75
NA,NA,25,0.03,6.84,53.75
NA,NA,33,NA,8.43,32
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,72,7,NA,8
NA,NA,94.75,7.7,NA,8
NA,NA,136,10.08,NA,8.25
NA,NA,89.5,15.85,NA,10.75
NA,NA,84.25,15.25,NA,11
NA,NA,93.25,18.25,NA,11
NA,NA,69.25,12.88,NA,11
NA,NA,79,12.9,NA,11
NA,NA,99.75,12.47,NA,11
NA,NA,65.75,14.97,NA,11
NA,NA,69,10.67,NA,11
NA,NA,78.25,11.9,NA,11
NA,NA,131.75,14.95,NA,11
NA,NA,168,13.72,NA,11
NA,NA,183.25,8.47,NA,11
NA,NA,202,8.4,NA,11
NA,NA,247.5,8.35,NA,11
NA,NA,222.25,8.28,NA,11
NA,NA,200.5,9.67,NA,11
NA,NA,202.25,10.33,NA,11
NA,NA,249.75,10.7,NA,11
NA,NA,246.5,11.63,NA,11
NA,NA,205.75,12.58,NA,11
NA,NA,270.25,13.5,NA,11
NA,NA,186,22.15,NA,11
NA,NA,127.25,51.47,NA,11
NA,NA,91.75,45.3,NA,11
NA,NA,115.5,54.97,NA,11
NA,NA,65.5,40.05,NA,11
NA,NA,38.25,20.57,NA,11
NA,NA,26.75,17.75,NA,11
NA,NA,24,14.4,NA,11
NA,NA,27,11.45,NA,11
NA,NA,41.25,10.55,NA,11
NA,NA,65,10.2,NA,11
NA,NA,94.25,8.43,NA,11
NA,NA,88.75,6.82,NA,11
NA,NA,161,9.33,NA,11
NA,NA,140.5,23.6,NA,11
NA,NA,129.5,20.3,NA,11
NA,NA,149.5,19.58,NA,11
NA,NA,147.25,15.17,NA,11
NA,NA,167,10.45,NA,11
NA,NA,202,8.52,NA,11
NA,NA,120.25,11,NA,11
NA,NA,48.5,12.62,NA,11
NA,NA,31.25,10.5,NA,11
NA,NA,58,8.55,NA,11
NA,NA,36,8.12,NA,11
NA,NA,26.25,8.25,NA,11
NA,NA,21,8.08,NA,11
NA,NA,36.5,8.6,NA,11
508,NA,34.67,7.1,NA,23
84,NA,25.25,5.1,NA,55
109,NA,16.75,3.9,30.5,70.25
104,NA,20,2.62,NA,73
91.5,NA,24.75,1.45,NA,64.5
83.25,NA,19.25,0.65,14,60.25
73.25,NA,25.25,0.08,17.25,41
81.75,NA,29.25,0.03,5.67,27
95.75,NA,42.25,1.55,47.75,16
122.25,NA,38,2.1,NA,11.5
138.5,NA,43,2.2,36,11.75
139,NA,41.25,1.23,NA,8.5
152,NA,37.25,1.15,1.83,10.25
155,NA,26.5,1.7,1.48,19
130,NA,16.5,1.5,1.02,31.25
119.5,NA,16.25,1.78,1.84,26.75
152.75,NA,14.5,1.2,1.39,23.5
148.25,NA,15.5,1.1,NA,25.75
150,NA,15.75,1.07,1.2,22.25
144.25,NA,25.5,0.62,2.03,11.75
169,NA,32,1.53,2.84,12.75
173,NA,31.75,2.85,1.67,23.5
170.5,NA,25.5,2.03,1.65,46.5
154.25,NA,30.25,1.55,2.21,62
133.25,NA,28.5,1,1.38,68.25
104.25,NA,21,0.3,1.51,76
81.75,NA,16.75,NA,2.02,79.25
81,NA,22,NA,1.78,76.25
78,NA,20.25,NA,2.61,74
75.25,NA,20.5,3.33,2.97,62
73,NA,25,0.08,2,38.75
99.75,NA,31.75,0.2,1.99,17.75
125.5,NA,53,1.9,2.98,8.5
169.5,NA,75.25,1.53,3.64,8
194.5,NA,114.75,1.35,5.08,8
222.25,NA,119.25,1.47,3.94,7.75
234.75,NA,77,2,2.45,7.25
224.5,NA,57.5,2.38,1.86,7
219.5,NA,40.75,3.03,1.11,7.25
208,NA,40,2.22,NA,7.25
208,NA,46.25,1.53,1.43,7.25
213.75,NA,46.75,1.65,1.57,7.5
214,NA,36.75,3.43,1.74,7.25
299,NA,45.5,5.87,1.96,8
302.5,NA,32.75,5.77,1.73,10.75
187,NA,34.5,5.48,1.77,19.75
144.5,NA,27,6.6,1.42,48
135.5,NA,28.5,6.02,2.19,83
165.75,NA,34.25,4.98,1.47,88.75
145.75,NA,30.25,3.25,1.32,81.5
123.75,NA,27.5,2.6,1.59,87.5
100.75,NA,25.5,1.35,1.79,86.75
94,NA,24.5,0.28,3.27,72.5
90.5,NA,19,0.05,3.69,69.5
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
